effectiveDate,Close,Open,High,Low,Volume,NBP_Rate,NBP_No
2022-06-01,4.2817,4.2817,4.2859817,4.2774183,1000000,4.2817,105/A/NBP/2022
2022-06-02,4.2931,4.2931,4.2973931,4.2888069,1000000,4.2931,106/A/NBP/2022
2022-06-03,4.2689,4.2689,4.2731689,4.264631100000001,1000000,4.2689,107/A/NBP/2022
2022-06-06,4.2675,4.2675,4.271767499999999,4.2632325,1000000,4.2675,108/A/NBP/2022
2022-06-07,4.2935,4.2935,4.297793499999999,4.2892065,1000000,4.2935,109/A/NBP/2022
2022-06-08,4.2904,4.2904,4.2946903999999995,4.2861096,1000000,4.2904,110/A/NBP/2022
2022-06-09,4.2764,4.2764,4.280676399999999,4.2721236,1000000,4.2764,111/A/NBP/2022
2022-06-10,4.3363,4.3363,4.340636299999999,4.331963699999999,1000000,4.3363,112/A/NBP/2022
2022-06-13,4.4209,4.4209,4.425320899999999,4.416479099999999,1000000,4.4209,113/A/NBP/2022
2022-06-14,4.4478,4.4478,4.452247799999999,4.4433522,1000000,4.4478,114/A/NBP/2022
2022-06-15,4.4455,4.4455,4.449945499999999,4.4410545,1000000,4.4455,115/A/NBP/2022
2022-06-17,4.463,4.463,4.4674629999999995,4.458537,1000000,4.463,116/A/NBP/2022
2022-06-20,4.44,4.44,4.44444,4.435560000000001,1000000,4.44,117/A/NBP/2022
2022-06-21,4.3917,4.3917,4.3960916999999995,4.3873083,1000000,4.3917,118/A/NBP/2022
2022-06-22,4.4338,4.4338,4.438233799999999,4.4293662,1000000,4.4338,119/A/NBP/2022
2022-06-23,4.4881,4.4881,4.4925881,4.4836119000000005,1000000,4.4881,120/A/NBP/2022
2022-06-24,4.4656,4.4656,4.4700656,4.461134400000001,1000000,4.4656,121/A/NBP/2022
2022-06-27,4.4369,4.4369,4.441336899999999,4.4324631,1000000,4.4369,122/A/NBP/2022
2022-06-28,4.4377,4.4377,4.4421377,4.4332623,1000000,4.4377,123/A/NBP/2022
2022-06-29,4.4533,4.4533,4.457753299999999,4.4488467,1000000,4.4533,124/A/NBP/2022
2022-06-30,4.4825,4.4825,4.4869825,4.4780175,1000000,4.4825,125/A/NBP/2022
2022-07-01,4.5106,4.5106,4.5151106,4.5060894000000005,1000000,4.5106,126/A/NBP/2022
2022-07-04,4.5032,4.5032,4.507703199999999,4.498696799999999,1000000,4.5032,127/A/NBP/2022
2022-07-05,4.5947,4.5947,4.599294699999999,4.590105299999999,1000000,4.5947,128/A/NBP/2022
2022-07-06,4.6796,4.6796,4.684279599999999,4.6749203999999995,1000000,4.6796,129/A/NBP/2022
2022-07-07,4.7029,4.7029,4.7076028999999995,4.6981971,1000000,4.7029,130/A/NBP/2022
2022-07-08,4.7417,4.7417,4.746441699999999,4.7369582999999995,1000000,4.7417,131/A/NBP/2022
2022-07-11,4.7416,4.7416,4.746341599999999,4.7368584,1000000,4.7416,132/A/NBP/2022
2022-07-12,4.8284,4.8284,4.833228399999999,4.8235716,1000000,4.8284,133/A/NBP/2022
2022-07-13,4.8221,4.8221,4.826922099999999,4.8172779,1000000,4.8221,134/A/NBP/2022
2022-07-14,4.8274,4.8274,4.832227399999999,4.8225726,1000000,4.8274,135/A/NBP/2022
2022-07-15,4.7966,4.7966,4.8013965999999995,4.7918034,1000000,4.7966,136/A/NBP/2022
2022-07-18,4.7152,4.7152,4.7199152,4.710484800000001,1000000,4.7152,137/A/NBP/2022
2022-07-19,4.6594,4.6594,4.664059399999999,4.654740599999999,1000000,4.6594,138/A/NBP/2022
2022-07-20,4.6524,4.6524,4.6570523999999995,4.6477476,1000000,4.6524,139/A/NBP/2022
2022-07-21,4.6682,4.6682,4.672868199999999,4.6635317999999994,1000000,4.6682,140/A/NBP/2022
